Date,Revenue
2023-01-01,3600
2023-01-02,1765
2023-01-03,600
2023-01-04,1240
2023-01-05,1100
2023-01-06,620
2023-01-07,150
2023-01-08,625
2023-01-09,200
2023-01-10,230
2023-01-11,280
2023-01-13,1930
2023-01-14,1550
2023-01-15,660
2023-01-16,4000
2023-01-17,1645
2023-01-19,30
2023-01-20,125
2023-01-21,2090
2023-01-22,325
2023-01-23,3120
2023-01-24,2250
2023-01-25,50
2023-01-26,2570
2023-01-27,235
2023-01-28,1020
2023-01-29,600
2023-01-30,740
2023-01-31,2100
2023-02-01,4700
2023-02-02,1375
2023-02-03,1230
2023-02-04,1120
2023-02-05,1805
2023-02-06,625
2023-02-07,2100
2023-02-08,425
2023-02-09,600
2023-02-10,1900
2023-02-11,2215
2023-02-12,500
2023-02-13,3600
2023-02-14,400
2023-02-16,900
2023-02-17,5890
2023-02-18,1000
2023-02-19,2025
2023-02-20,1130
2023-02-21,385
2023-02-22,300
2023-02-23,30
2023-02-24,3200
2023-02-25,2550
2023-02-26,50
2023-02-27,1825
2023-02-28,2180
2023-03-01,460
2023-03-02,300
2023-03-03,970
2023-03-04,1000
2023-03-05,420
2023-03-06,625
2023-03-07,3040
2023-03-08,25
2023-03-09,1200
2023-03-10,175
2023-03-11,500
2023-03-12,525
2023-03-13,300
2023-03-15,1000
2023-03-17,1075
2023-03-18,1620
2023-03-19,80
2023-03-20,2950
2023-03-21,3500
2023-03-22,1390
2023-03-23,1950
2023-03-24,250
2023-03-25,1625
2023-03-26,1420
2023-03-27,590
2023-03-28,100
2023-03-29,500
2023-03-30,200
2023-03-31,1200
2023-04-01,4400
2023-04-02,2600
2023-04-04,1620
2023-04-05,2100
2023-04-06,1200
2023-04-08,2450
2023-04-09,2235
2023-04-10,60
2023-04-11,50
2023-04-12,1590
2023-04-13,360
2023-04-15,700
2023-04-16,300
2023-04-17,25
2023-04-18,500
2023-04-19,2725
2023-04-20,3375
2023-04-21,170
2023-04-22,225
2023-04-23,2905
2023-04-24,170
2023-04-25,160
2023-04-26,270
2023-04-27,1430
2023-04-28,135
2023-04-29,1960
2023-04-30,155
2023-05-01,625
2023-05-02,165
2023-05-03,300
2023-05-04,1140
2023-05-05,1520
2023-05-06,990
2023-05-07,995
2023-05-08,4200
2023-05-09,660
2023-05-10,2200
2023-05-11,30
2023-05-12,100
2023-05-13,800
2023-05-14,1060
2023-05-15,1680
2023-05-16,7260
2023-05-17,3050
2023-05-18,550
2023-05-19,1350
2023-05-20,725
2023-05-21,2900
2023-05-22,1810
2023-05-23,8455
2023-05-24,50
2023-05-25,2600
2023-05-26,2020
2023-05-27,2200
2023-05-28,75
2023-05-29,1200
2023-05-30,140
2023-05-31,2300
2023-06-01,160
2023-06-02,150
2023-06-03,1025
2023-06-04,1030
2023-06-05,100
2023-06-06,1950
2023-06-07,150
2023-06-08,1700
2023-06-09,1820
2023-06-10,2750
2023-06-11,3300
2023-06-12,50
2023-06-13,500
2023-06-14,900
2023-06-15,220
2023-06-16,230
2023-06-17,1450
2023-06-18,900
2023-06-19,2945
2023-06-20,190
2023-06-21,175
2023-06-22,1220
2023-06-23,170
2023-06-24,6220
2023-06-25,900
2023-06-26,2130
2023-06-27,900
2023-06-28,300
2023-06-29,2150
2023-06-30,1030
2023-07-01,1750
2023-07-03,230
2023-07-04,500
2023-07-05,780
2023-07-06,2260
2023-07-08,220
2023-07-09,325
2023-07-11,200
2023-07-12,30
2023-07-13,100
2023-07-14,5125
2023-07-15,3000
2023-07-16,190
2023-07-17,950
2023-07-19,2060
2023-07-21,1000
2023-07-22,150
2023-07-23,2000
2023-07-24,4610
2023-07-25,2000
2023-07-26,1000
2023-07-27,1190
2023-07-28,3450
2023-07-29,575
2023-07-30,270
2023-07-31,1500
2023-08-01,720
2023-08-02,50
2023-08-03,375
2023-08-04,260
2023-08-05,5205
2023-08-06,2500
2023-08-07,1020
2023-08-08,1385
2023-08-09,1010
2023-08-10,200
2023-08-11,900
2023-08-12,1370
2023-08-13,700
2023-08-14,1230
2023-08-15,970
2023-08-17,900
2023-08-18,1630
2023-08-19,2160
2023-08-20,90
2023-08-21,1560
2023-08-22,1275
2023-08-23,1730
2023-08-24,1305
2023-08-25,395
2023-08-26,955
2023-08-27,1725
2023-08-28,350
2023-08-29,2630
2023-08-31,2360
2023-09-01,1375
2023-09-02,1370
2023-09-03,300
2023-09-04,1000
2023-09-05,530
2023-09-06,1765
2023-09-07,420
2023-09-08,1125
2023-09-09,200
2023-09-10,200
2023-09-11,2200
2023-09-13,50
2023-09-14,1200
2023-09-15,75
2023-09-16,2150
2023-09-17,700
2023-09-18,1000
2023-09-19,160
2023-09-21,105
2023-09-22,140
2023-09-23,100
2023-09-24,390
2023-09-25,1090
2023-09-26,100
2023-09-28,425
2023-09-29,2550
2023-09-30,2900
2023-10-01,2800
2023-10-02,1245
2023-10-03,2170
2023-10-04,3010
2023-10-05,530
2023-10-06,1500
2023-10-07,2500
2023-10-08,2025
2023-10-09,195
2023-10-10,2120
2023-10-11,2250
2023-10-12,475
2023-10-13,1175
2023-10-14,110
2023-10-15,1500
2023-10-16,2860
2023-10-17,175
2023-10-18,2025
2023-10-19,1860
2023-10-20,50
2023-10-21,50
2023-10-22,1950
2023-10-23,800
2023-10-24,2200
2023-10-25,3500
2023-10-26,740
2023-10-27,3650
2023-10-29,1250
2023-10-30,75
2023-10-31,1790
2023-11-01,1450
2023-11-02,1915
2023-11-03,1200
2023-11-04,500
2023-11-05,1800
2023-11-06,2700
2023-11-07,1560
2023-11-08,210
2023-11-09,3100
2023-11-10,115
2023-11-12,225
2023-11-13,1225
2023-11-14,1080
2023-11-15,1630
2023-11-16,1500
2023-11-17,2610
2023-11-18,1130
2023-11-19,300
2023-11-20,50
2023-11-21,1060
2023-11-22,2200
2023-11-23,1590
2023-11-24,1110
2023-11-25,150
2023-11-26,1600
2023-11-27,235
2023-11-28,390
2023-11-29,1825
2023-11-30,460
2023-12-01,110
2023-12-02,3030
2023-12-03,600
2023-12-04,1730
2023-12-05,2475
2023-12-06,2940
2023-12-07,1400
2023-12-08,2800
2023-12-09,3925
2023-12-10,1420
2023-12-11,950
2023-12-12,200
2023-12-13,725
2023-12-14,660
2023-12-15,2050
2023-12-16,1130
2023-12-17,1500
2023-12-18,2250
2023-12-19,790
2023-12-20,1350
2023-12-21,300
2023-12-22,1000
2023-12-23,1850
2023-12-24,200
2023-12-25,1200
2023-12-26,1880
2023-12-27,700
2023-12-28,2075
2023-12-29,3400
2023-12-31,50
2024-01-01,1530
